Number ,tweetDate,twitterId,Code,text,tweetLink,RT,Likes,timestamp,query
61,Thu Mar 23 20:16:18 +0000 2023,195685789,,"1.000 puestos de trabajo en un nuevo ""hub"" de investigación: la promesa de AstraZeneca en Barcelona https://t.co/mB0MpltyZn https://t.co/loIPxENtTJ",https://twitter.com/Santiago_Sanz_L/status/1638998122117615616,,,6/3/23 10:22,astrazeneca barcelona
62,Thu Mar 23 19:26:32 +0000 2023,197523205,,AstraZeneca levantará un polo de innovación y desarrollo en Barcelona con 800 millones de euros https://t.co/BovYlJh9OS a través de @merca2_es,https://twitter.com/nelapalaciosr/status/1638985599431368706,,,6/3/23 10:22,astrazeneca barcelona
63,Thu Mar 23 18:17:37 +0000 2023,468452806,,La lletra petita de la inversió de 800 MEUR d'AstraZeneca a Barcelona https://t.co/OnyPC24Hbg,https://twitter.com/ANTONIBOSCH3/status/1638968256147996672,,,6/3/23 10:22,astrazeneca barcelona
64,Thu Mar 23 15:00:01 +0000 2023,41583102,,"La farmacèutica AstraZeneca invertirà 800M€ a Barcelona per a investigació

https://t.co/TyfCdLraTu",https://twitter.com/btvnoticies/status/1638918527649304577,,,6/3/23 10:22,astrazeneca barcelona
65,Fri Mar 24 08:29:38 +0000 2023,197523205,,AstraZeneca levantará un polo de innovación y desarrollo en Barcelona con 800 millones de euros https://t.co/BovYlJh9OS a través de @merca2_es,https://twitter.com/nelapalaciosr/status/1639182671682191360,,,6/3/23 10:22,astrazeneca barcelona
66,Fri Mar 24 06:49:16 +0000 2023,172097034,,"AstraZeneca to invest over $870mln in new research hub in Barcelona - Reports

https://t.co/2mYotlumjd",https://twitter.com/goachronicle/status/1639157415932485632,,,6/3/23 10:22,astrazeneca barcelona
67,Thu Mar 23 18:33:15 +0000 2023,1.56313E+18,,AstraZeneca To Invest Over $870Mln In New Research Hub In Barcelona – Reports https://t.co/bBxyrVOxGA,https://twitter.com/Emily_designer2/status/1638972189172199424,,,6/3/23 10:22,astrazeneca barcelona
68,Thu Mar 23 21:16:57 +0000 2023,1.52693E+18,,"1.000 puestos de trabajo en un nuevo ""hub"" de investigación: la promesa de AstraZeneca en Barcelona https://t.co/GWj1DALTAF",https://twitter.com/CarlosD02933720/status/1639013385336414209,,,6/3/23 10:22,astrazeneca barcelona
69,Fri Mar 24 10:57:54 +0000 2023,460499728,,AstraZeneca invertirá 800 millones en un centro de innovación en salud en Barcelona: https://t.co/IdlHsbNvG1,https://twitter.com/franmacos/status/1639219983698866176,,,6/3/23 10:22,astrazeneca barcelona
70,Thu Mar 23 15:05:50 +0000 2023,7.70972E+17,,AstraZeneca levantará un polo de innovación y desarrollo en Barcelona con 800 millones de euros https://t.co/929RSvv7AV,https://twitter.com/merca2_es/status/1638919994355642368,,,6/3/23 10:22,astrazeneca barcelona
